Usuario,Tag,THT_pre,ND_pre,HPD_pre,NPPD_pre,DCJ_pre,Riesgo_pre,THT_post,ND_post,TPP_post,HPD_post,NPPD_post,DCJ_post,Riesgo_post,PRTPJ_HPD,PRTPJ_NPPD,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
Moon,cito,25.62,19,1.35,3.16,13,Bajo,23.4,15,56,1.56,3.73,14,Bajo,-15.555555555555554,-18.0379746835443,-7.6923076923076925,-0.20999999999999996,-0.5699999999999998,-1
Maaæ,LAS1,27.32,15,1.82,4.0,8,Bajo,27.4,14,60,1.96,4.29,9,Medio,-7.692307692307687,-7.250000000000001,-12.5,-0.1399999999999999,-0.29000000000000004,-1
RubiaFashion,LAS,28.58,12,2.38,5.0,9,Medio,25.45,10,55,2.54,5.5,7,Medio,-6.722689075630258,-10.0,22.22222222222222,-0.16000000000000014,-0.5,2
MOONQUI,LAS,29.66,20,1.48,3.0,3,Bajo,28.39,18,56,1.58,3.11,3,Bajo,-6.756756756756762,-3.6666666666666625,0.0,-0.10000000000000009,-0.10999999999999988,0
Toky,Wena,28.81,9,3.2,6.67,9,Medio,28.59,11,57,2.6,5.18,11,Medio,18.750000000000004,22.33883058470765,-22.22222222222222,0.6000000000000001,1.4900000000000002,-2
tio goldo,1984,28.77,9,3.2,6.67,9,Medio,26.84,7,58,3.83,8.29,7,Alto,-19.687499999999996,-24.287856071964008,22.22222222222222,-0.6299999999999999,-1.6199999999999992,2
Colan,LAS,31.02,14,2.22,4.29,5,Bajo,30.23,15,58,2.02,3.87,5,Bajo,9.009009009009016,9.790209790209788,0.0,0.20000000000000018,0.41999999999999993,0
GotGaren,1997,31.82,9,3.54,6.67,7,Medio,29.3,9,54,3.26,6.0,4,Medio,7.909604519774019,10.044977511244376,42.857142857142854,0.28000000000000025,0.6699999999999999,3
Cubito,4444,29.2,21,1.39,2.86,6,Bajo,27.75,20,57,1.39,2.85,9,Bajo,0.0,0.3496503496503422,-50.0,0.0,0.009999999999999787,-3
DPontiacBandit,LAS,29.98,18,1.67,3.33,6,Bajo,27.85,17,54,1.64,3.18,6,Bajo,1.7964071856287442,4.504504504504501,0.0,0.030000000000000027,0.1499999999999999,0
agutin,LLL,30.58,13,2.35,4.62,5,Bajo,28.15,10,56,2.81,5.6,4,Bajo,-19.574468085106382,-21.2121212121212,20.0,-0.45999999999999996,-0.9799999999999995,1
the adc is,UwU,28.46,14,2.03,4.29,3,Bajo,26.1,13,55,2.01,4.23,4,Bajo,0.9852216748768483,1.3986013986013894,-33.33333333333333,0.020000000000000018,0.05999999999999961,-1
TilinDijoElBardo,LAS,28.69,13,2.21,4.62,3,Bajo,27.31,12,55,2.28,4.58,3,Bajo,-3.1674208144796308,0.8658008658008665,0.0,-0.06999999999999984,0.040000000000000036,0
Felpa16,LAS,30.89,24,1.29,2.5,7,Bajo,27.96,22,57,1.27,2.59,4,Bajo,1.5503875968992262,-3.5999999999999943,42.857142857142854,0.020000000000000018,-0.08999999999999986,3
Chinche Poroto,999,27.13,14,1.94,4.29,13,Medio,25.08,15,54,1.67,3.6,9,Bajo,13.917525773195877,16.083916083916083,30.76923076923077,0.27,0.69,4
TeemoLicion,002,29.83,24,1.24,2.5,13,Bajo,27.7,22,55,1.26,2.5,12,Bajo,-1.6129032258064528,0.0,7.6923076923076925,-0.020000000000000018,0.0,1
NoxFler,LAS,27.48,16,1.72,3.75,2,Bajo,25.99,14,56,1.86,4.0,2,Bajo,-8.139534883720938,-6.666666666666667,0.0,-0.14000000000000012,-0.25,0
