Usuario,Tag,THT_pre,ND_pre,HPD_pre,NPPD_pre,DCJ_pre,Riesgo_pre,THT_post,ND_post,TPP_post,HPD_post,NPPD_post,DCJ_post,Riesgo_post,PRTPJ_HPD,PRTPJ_NPPD,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
ySan97,f22b2,27.65,16,1.73,3.75,11,Bajo,25.58,16,55,1.6,3.44,11,Bajo,7.514450867052017,8.266666666666667,0.0,0.1299999999999999,0.31000000000000005,0
SOUL,JPN,28.83,11,2.62,5.45,11,Medio,27.54,10,57,2.75,5.7,10,Medio,-4.961832061068698,-4.587155963302751,9.090909090909092,-0.1299999999999999,-0.25,1
Joa,GLHF,29.26,18,1.63,3.33,5,Bajo,26.59,14,60,1.9,4.29,9,Medio,-16.564417177914113,-28.82882882882883,-80.0,-0.27,-0.96,-4
Sunmy,LAS,27.95,7,3.99,8.57,4,Medio,25.51,8,55,3.19,6.88,5,Medio,20.050125313283214,19.71995332555426,-25.0,0.8000000000000003,1.6900000000000004,-1
Felo,BEAR,30.0,4,7.5,15.0,4,Alto,28.82,8,58,3.6,7.25,8,Alto,52.0,51.66666666666667,-100.0,3.9,7.75,-4
77pablito,CAI,29.48,14,2.11,4.29,6,Medio,23.35,5,54,4.67,10.8,4,Medio,-121.32701421800948,-151.74825174825176,33.33333333333333,-2.56,-6.510000000000001,2
RP Glasman2,LAS,28.64,16,1.79,3.75,4,Bajo,26.9,13,57,2.07,4.38,4,Bajo,-15.642458100558649,-16.799999999999997,0.0,-0.2799999999999998,-0.6299999999999999,0
El Rey Henry,KING,25.35,7,3.62,8.57,4,Medio,23.76,5,56,4.75,11.2,5,Medio,-31.215469613259668,-30.688448074679105,-25.0,-1.13,-2.629999999999999,-1
ATC PØLPHOENIX,LAS1,29.96,15,2.0,4.0,6,Bajo,27.1,14,56,1.94,4.0,6,Bajo,3.0000000000000027,0.0,0.0,0.06000000000000005,0.0,0
Whiskas,Curru,27.65,9,3.07,6.67,9,Medio,28.16,9,60,3.13,6.67,6,Medio,-1.9543973941368098,0.0,33.33333333333333,-0.06000000000000005,0.0,3
Oticangi,PPP,27.71,14,1.98,4.29,5,Bajo,25.9,14,56,1.85,4.0,5,Bajo,6.56565656565656,6.75990675990676,0.0,0.1299999999999999,0.29000000000000004,0
RIP in peperonni,LAS,27.47,17,1.62,3.53,10,Bajo,24.06,12,54,2.0,4.5,12,Medio,-23.456790123456784,-27.478753541076493,-20.0,-0.3799999999999999,-0.9700000000000002,-2
ZT4,LAS,29.8,14,2.13,4.29,10,Medio,29.05,14,60,2.08,4.29,11,Medio,2.3474178403755785,0.0,-10.0,0.04999999999999982,0.0,-1
sanzok,LAS,28.96,26,1.11,2.31,6,Bajo,28.96,26,60,1.11,2.31,6,Bajo,0.0,0.0,0.0,0.0,0.0,0
IlachOne,6381,30.43,17,1.79,3.53,10,Bajo,28.36,11,60,2.58,5.45,6,Medio,-44.134078212290504,-54.39093484419265,40.0,-0.79,-1.9200000000000004,4
Levhen,LAS,29.02,19,1.53,3.16,4,Bajo,27.43,18,58,1.52,3.22,4,Bajo,0.6535947712418306,-1.8987341772151913,0.0,0.010000000000000009,-0.06000000000000005,0
Saidpalao,AMPAY,26.52,24,1.1,2.5,2,Bajo,25.63,24,56,1.07,2.33,2,Bajo,2.7272727272727297,6.799999999999998,0.0,0.030000000000000027,0.16999999999999993,0
ajinomen,9038,27.46,17,1.62,3.53,3,Bajo,24.79,16,55,1.55,3.44,3,Bajo,4.320987654320991,2.549575070821526,0.0,0.07000000000000006,0.08999999999999986,0
Lordans,6969,22.09,17,1.3,3.53,6,Bajo,20.02,17,54,1.18,3.18,6,Bajo,9.230769230769239,9.915014164305939,0.0,0.1200000000000001,0.34999999999999964,0
LIT KILLAH,412,27.23,19,1.43,3.16,11,Bajo,24.14,17,54,1.42,3.18,11,Bajo,0.6993006993007,-0.6329113924050638,0.0,0.010000000000000009,-0.020000000000000018,0
vamosadecirquesi,LAS,28.99,16,1.81,3.75,5,Bajo,27.49,15,57,1.83,3.8,5,Bajo,-1.1049723756906087,-1.3333333333333286,0.0,-0.020000000000000018,-0.04999999999999982,0
JT 01,LAS,28.01,11,2.55,5.45,5,Bajo,26.78,10,58,2.68,5.8,5,Bajo,-5.098039215686288,-6.422018348623847,0.0,-0.13000000000000034,-0.34999999999999964,0
ComidaDelFuturo氣,ATEN,26.72,9,2.97,6.67,9,Medio,27.55,5,56,5.51,11.2,5,Alto,-85.5218855218855,-67.91604197901049,44.44444444444444,-2.5399999999999996,-4.529999999999999,4
Giann,LATAM,30.02,27,1.11,2.22,8,Bajo,29.12,26,56,1.12,2.15,8,Bajo,-0.9009009009009016,3.1531531531531654,0.0,-0.010000000000000009,0.07000000000000028,0
Vyak,LAS,28.65,15,1.91,4.0,10,Bajo,27.43,16,57,1.71,3.56,7,Bajo,10.471204188481673,10.999999999999998,30.0,0.19999999999999996,0.43999999999999995,3
xHoneyFish,CHL,29.58,25,1.18,2.4,7,Bajo,29.26,24,60,1.22,2.5,7,Bajo,-3.3898305084745797,-4.1666666666666705,0.0,-0.040000000000000036,-0.10000000000000009,0
Jarthar,LAS,26.6,11,2.42,5.45,5,Bajo,27.8,12,58,2.32,4.83,5,Bajo,4.132231404958682,11.376146788990829,0.0,0.10000000000000009,0.6200000000000001,0
Vayne player 1,LAS,29.35,20,1.47,3.0,9,Bajo,24.62,20,54,1.23,2.7,7,Bajo,16.3265306122449,9.999999999999993,22.22222222222222,0.24,0.2999999999999998,2
darling,zzz,31.26,12,2.6,5.0,12,Medio,27.49,12,55,2.29,4.58,8,Medio,11.923076923076925,8.399999999999999,33.33333333333333,0.31000000000000005,0.41999999999999993,4
LKING,MH1,30.67,8,3.83,7.5,8,Alto,30.89,11,59,2.81,5.36,11,Medio,26.631853785900784,28.533333333333328,-37.5,1.02,2.1399999999999997,-3
SuruyoDelSodimac,LAS,29.65,19,1.56,3.16,8,Bajo,28.4,18,59,1.58,3.28,8,Bajo,-1.2820512820512833,-3.797468354430369,0.0,-0.020000000000000018,-0.11999999999999966,0
SebastianMR,2404,28.25,9,3.14,6.67,5,Medio,27.7,11,58,2.52,5.27,7,Medio,19.74522292993631,20.989505247376318,-40.0,0.6200000000000001,1.4000000000000004,-2
daegu,LAS,29.14,17,1.71,3.53,6,Bajo,27.03,16,55,1.69,3.44,6,Bajo,1.1695906432748548,2.549575070821526,0.0,0.020000000000000018,0.08999999999999986,0
Intss,LAS,26.16,11,2.38,5.45,11,Medio,24.81,11,57,2.26,5.18,11,Medio,5.042016806722694,4.954128440366981,0.0,0.1200000000000001,0.27000000000000046,0
BlackModerm10,0000,27.8,22,1.26,2.73,6,Bajo,26.4,21,59,1.26,2.81,5,Bajo,0.0,-2.9304029304029333,16.666666666666664,0.0,-0.08000000000000007,1
S1m0n,2277,29.58,23,1.29,2.61,5,Bajo,26.76,22,56,1.22,2.55,5,Bajo,5.426356589147292,2.2988505747126458,0.0,0.07000000000000006,0.06000000000000005,0
Shamta,LAS,29.03,19,1.53,3.16,3,Bajo,29.03,19,60,1.53,3.16,3,Bajo,0.0,0.0,0.0,0.0,0.0,0
Dr Tommy,Crybb,28.9,20,1.44,3.0,8,Bajo,29.24,17,59,1.72,3.47,13,Bajo,-19.444444444444446,-15.666666666666673,-62.5,-0.28,-0.4700000000000002,-5
Nav,210,26.89,20,1.34,3.0,4,Bajo,26.48,20,59,1.32,2.95,4,Bajo,1.492537313432837,1.6666666666666607,0.0,0.020000000000000018,0.04999999999999982,0
TheBoss,T3tas,29.49,12,2.46,5.0,8,Medio,28.03,13,55,2.16,4.23,13,Medio,12.195121951219505,15.399999999999991,-62.5,0.2999999999999998,0.7699999999999996,-5
selfless,pain,27.18,22,1.24,2.73,4,Bajo,26.45,22,59,1.2,2.68,4,Bajo,3.2258064516129057,1.831501831501825,0.0,0.040000000000000036,0.04999999999999982,0
SOS RE WACHINN,LAS,28.87,29,1.0,2.07,10,Bajo,26.4,27,56,0.98,2.07,6,Bajo,2.0000000000000018,0.0,40.0,0.020000000000000018,0.0,4
Kab,DUHR,26.59,11,2.42,5.45,6,Medio,27.02,12,60,2.25,5.0,10,Medio,7.0247933884297495,8.256880733944957,-66.66666666666666,0.16999999999999993,0.4500000000000002,-4
Labubu,1251,29.25,13,2.25,4.62,5,Bajo,26.63,14,54,1.9,3.86,4,Bajo,15.555555555555559,16.450216450216455,20.0,0.3500000000000001,0.7600000000000002,1
Hustlee Hard 304,304,28.88,15,1.93,4.0,3,Bajo,27.57,13,58,2.12,4.46,4,Bajo,-9.844559585492236,-11.5,-33.33333333333333,-0.19000000000000017,-0.45999999999999996,-1
BABOSA,lmao,32.55,25,1.3,2.4,5,Bajo,30.48,24,55,1.27,2.29,5,Bajo,2.3076923076923097,4.583333333333329,0.0,0.030000000000000027,0.10999999999999988,0
NoWitness,CBA,27.03,13,2.08,4.62,10,Medio,26.14,14,59,1.87,4.21,8,Medio,10.096153846153843,8.874458874458877,20.0,0.20999999999999996,0.41000000000000014,2
taitun,LAS,29.95,11,2.72,5.45,6,Medio,27.72,13,60,2.13,4.62,11,Medio,21.691176470588243,15.229357798165138,-83.33333333333334,0.5900000000000003,0.8300000000000001,-5
Creeping Derp,LAS,31.04,22,1.41,2.73,7,Bajo,29.46,21,56,1.4,2.67,7,Bajo,0.7092198581560291,2.1978021978021998,0.0,0.010000000000000009,0.06000000000000005,0
jordi el tulachi,LAS,30.06,13,2.31,4.62,6,Medio,24.19,10,54,2.42,5.4,10,Medio,-4.761904761904756,-16.883116883116887,-66.66666666666666,-0.10999999999999988,-0.7800000000000002,-4
Uri,Uri27,28.76,32,0.9,1.88,4,Bajo,26.62,26,54,1.02,2.08,4,Bajo,-13.333333333333334,-10.638297872340436,0.0,-0.12,-0.20000000000000018,0
Tutesc,EDLP,30.15,12,2.51,5.0,6,Medio,29.91,11,60,2.72,5.45,6,Medio,-8.36653386454185,-9.000000000000004,0.0,-0.2100000000000004,-0.4500000000000002,0
Juego con la 10,VAJ,28.65,14,2.05,4.29,5,Bajo,28.32,16,60,1.77,3.75,5,Bajo,13.658536585365846,12.587412587412588,0.0,0.2799999999999998,0.54,0
Patroler,111,28.87,13,2.22,4.62,11,Medio,26.56,10,55,2.66,5.5,6,Medio,-19.819819819819813,-19.047619047619044,45.45454545454545,-0.43999999999999995,-0.8799999999999999,5
Josedeoro,RECA,32.22,21,1.53,2.86,8,Bajo,31.35,20,58,1.57,2.9,8,Bajo,-2.6143790849673225,-1.3986013986014,0.0,-0.040000000000000036,-0.040000000000000036,0
chinoo,1200,30.83,13,2.37,4.62,10,Medio,27.75,11,60,2.52,5.45,5,Bajo,-6.329113924050629,-17.965367965367967,50.0,-0.1499999999999999,-0.8300000000000001,5
maidenless,SAPEE,28.93,16,1.81,3.75,15,Bajo,25.17,16,56,1.57,3.5,12,Bajo,13.259668508287293,6.666666666666667,20.0,0.24,0.25,3
elSeba11Xx,LAS,32.44,21,1.54,2.86,4,Bajo,32.52,22,60,1.48,2.73,4,Bajo,3.8961038961038996,4.545454545454542,0.0,0.06000000000000005,0.1299999999999999,0
SeeYouSoon,1800,30.1,27,1.11,2.22,4,Bajo,29.19,26,58,1.12,2.23,5,Bajo,-0.9009009009009016,-0.4504504504504408,-25.0,-0.010000000000000009,-0.009999999999999787,-1
CarpinchoGoD,LAS,29.31,22,1.33,2.73,9,Bajo,27.14,11,55,2.47,5.0,11,Medio,-85.71428571428572,-83.15018315018315,-22.22222222222222,-1.1400000000000001,-2.27,-2
TomPlatz,0000,27.03,10,2.7,6.0,3,Bajo,25.56,10,56,2.56,5.6,3,Bajo,5.18518518518519,6.666666666666672,0.0,0.14000000000000012,0.40000000000000036,0
FRAN MAIRA,3331,26.48,23,1.15,2.61,5,Bajo,23.48,20,54,1.17,2.7,5,Bajo,-1.7391304347826104,-3.4482758620689773,0.0,-0.020000000000000018,-0.0900000000000003,0
Neurus,LAS,29.07,18,1.61,3.33,15,Bajo,28.12,17,58,1.65,3.41,17,Bajo,-2.4844720496894293,-2.4024024024024047,-13.333333333333334,-0.039999999999999813,-0.08000000000000007,-2
EuLeK,LAS,27.68,9,3.08,6.67,3,Bajo,28.26,9,59,3.14,6.56,3,Bajo,-1.9480519480519498,1.649175412293858,0.0,-0.06000000000000005,0.11000000000000032,0
Pappers,LAS,29.03,14,2.07,4.29,5,Bajo,27.83,13,56,2.14,4.31,5,Bajo,-3.381642512077309,-0.46620046620045624,0.0,-0.07000000000000028,-0.019999999999999574,0
KillVMaim,IDFC,29.62,11,2.69,5.45,3,Bajo,26.47,10,54,2.65,5.4,3,Bajo,1.4869888475836444,0.9174311926605472,0.0,0.040000000000000036,0.04999999999999982,0
pancito36,4437,29.43,19,1.55,3.16,4,Bajo,25.27,17,54,1.49,3.18,5,Bajo,3.8709677419354875,-0.6329113924050638,-25.0,0.06000000000000005,-0.020000000000000018,-1
tki44,222,30.12,26,1.16,2.31,4,Bajo,27.79,22,54,1.26,2.45,6,Bajo,-8.620689655172423,-6.060606060606066,-50.0,-0.10000000000000009,-0.14000000000000012,-2
alan2pac,LAS,26.87,18,1.49,3.33,3,Bajo,26.09,19,56,1.37,2.95,3,Bajo,8.053691275167777,11.411411411411407,0.0,0.11999999999999988,0.3799999999999999,0
Aeternum,LAS,30.42,17,1.79,3.53,6,Bajo,27.96,15,55,1.86,3.67,6,Bajo,-3.9106145251396685,-3.966005665722383,0.0,-0.07000000000000006,-0.14000000000000012,0
Nomacitax,0069,26.7,20,1.33,3.0,2,Bajo,23.49,18,54,1.3,3.0,2,Bajo,2.2556390977443628,0.0,0.0,0.030000000000000027,0.0,0
melvin,waos,27.86,7,3.98,8.57,3,Medio,25.98,10,55,2.6,5.5,3,Bajo,34.67336683417086,35.82263710618437,0.0,1.38,3.0700000000000003,0
Respawn Love,LAS,26.57,15,1.77,4.0,9,Bajo,24.68,14,54,1.76,3.86,9,Bajo,0.56497175141243,3.500000000000003,0.0,0.010000000000000009,0.14000000000000012,0
KrawLee,1997,28.4,20,1.42,3.0,5,Bajo,27.32,20,58,1.37,2.9,5,Bajo,3.521126760563368,3.333333333333336,0.0,0.04999999999999982,0.10000000000000009,0
frN,0202,28.32,18,1.57,3.33,5,Bajo,25.66,18,55,1.43,3.06,5,Bajo,8.917197452229306,8.108108108108109,0.0,0.14000000000000012,0.27,0
Chrollo Lucifer,HxH1,30.99,11,2.82,5.45,6,Medio,28.25,11,55,2.57,5.0,6,Medio,8.865248226950355,8.256880733944957,0.0,0.25,0.4500000000000002,0
Ragnar Lodbrok,VLH,31.67,12,2.64,5.0,6,Medio,29.77,11,56,2.71,5.09,6,Medio,-2.651515151515145,-1.7999999999999972,0.0,-0.06999999999999984,-0.08999999999999986,0
imMonster,LAS,28.77,8,3.6,7.5,4,Medio,29.07,9,56,3.23,6.22,2,Bajo,10.27777777777778,17.06666666666667,50.0,0.3700000000000001,1.2800000000000002,2
Marveliano,UCM,27.24,11,2.48,5.45,8,Medio,26.53,13,58,2.04,4.46,10,Medio,17.741935483870964,18.1651376146789,-25.0,0.43999999999999995,0.9900000000000002,-2
almostdead,lllll,29.29,6,4.88,10.0,6,Alto,27.14,7,55,3.88,7.86,4,Medio,20.491803278688526,21.4,33.33333333333333,1.0,2.1399999999999997,2
TostadiitaOP,Jesi,27.31,8,3.41,7.5,5,Medio,27.78,8,59,3.47,7.38,5,Medio,-1.7595307917888579,1.6000000000000014,0.0,-0.06000000000000005,0.1200000000000001,0
pudrete616,LAS,32.18,9,3.58,6.67,9,Medio,29.73,8,55,3.72,6.88,8,Medio,-3.9106145251396685,-3.1484257871064467,11.11111111111111,-0.14000000000000012,-0.20999999999999996,1
Rosetta,Lyor,30.53,6,5.09,10.0,6,Alto,30.01,7,59,4.29,8.43,7,Alto,15.717092337917482,15.700000000000003,-16.666666666666664,0.7999999999999998,1.5700000000000003,-1
ComeToM,LAS,29.42,6,4.9,10.0,6,Alto,26.36,5,54,5.27,10.8,5,Alto,-7.551020408163249,-8.000000000000007,16.666666666666664,-0.3699999999999992,-0.8000000000000007,1
VladSuo,CR7,24.71,12,2.06,5.0,4,Bajo,24.23,12,59,2.02,4.92,3,Bajo,1.9417475728155356,1.6000000000000014,25.0,0.040000000000000036,0.08000000000000007,1
Khada jhin LIBRA,jhin4,29.3,18,1.63,3.33,8,Bajo,29.63,20,60,1.48,3.0,8,Bajo,9.202453987730056,9.909909909909912,0.0,0.1499999999999999,0.33000000000000007,0
Nagumo Hajime,LAS,26.87,7,3.84,8.57,3,Medio,25.73,7,54,3.68,7.71,3,Medio,4.166666666666659,10.035005834305721,0.0,0.1599999999999997,0.8600000000000003,0
Labix,Goat,25.39,9,2.82,6.67,6,Medio,22.55,9,54,2.51,6.0,7,Medio,10.992907801418442,10.044977511244376,-16.666666666666664,0.31000000000000005,0.6699999999999999,-1
Zheva,LAS,29.06,11,2.64,5.45,10,Medio,25.0,12,57,2.08,4.75,8,Medio,21.21212121212121,12.84403669724771,20.0,0.56,0.7000000000000002,2
Koreback,LAS,27.44,13,2.11,4.62,7,Medio,25.82,12,54,2.15,4.5,7,Medio,-1.8957345971564,2.5974025974025996,0.0,-0.040000000000000036,0.1200000000000001,0
Ðarkîn bøw,GoNxt,28.99,16,1.81,3.75,8,Bajo,25.6,13,58,1.97,4.46,3,Bajo,-8.839779005524857,-18.933333333333334,62.5,-0.15999999999999992,-0.71,5
Mikel,SEEEX,27.97,15,1.86,4.0,7,Bajo,25.85,18,57,1.44,3.17,6,Bajo,22.58064516129033,20.75,14.285714285714285,0.42000000000000015,0.8300000000000001,1
Little Bandido,LAS,29.48,19,1.55,3.16,8,Bajo,27.83,18,56,1.55,3.11,8,Bajo,0.0,1.5822784810126667,0.0,0.0,0.050000000000000266,0
KNONIMO EL FURIA,LAS,30.5,12,2.54,5.0,5,Bajo,30.46,12,59,2.54,4.92,5,Bajo,0.0,1.6000000000000014,0.0,0.0,0.08000000000000007,0
PesoPesado95,LAS,30.32,10,3.03,6.0,10,Medio,27.68,10,55,2.77,5.5,10,Medio,8.580858085808575,8.333333333333332,0.0,0.2599999999999998,0.5,0
Sv3n,LAS,30.1,7,4.3,8.57,7,Alto,28.01,8,58,3.5,7.25,8,Alto,18.604651162790695,15.402567094515756,-14.285714285714285,0.7999999999999998,1.3200000000000003,-1
ZOYN,LAS,27.82,14,1.99,4.29,6,Medio,28.09,15,60,1.87,4.0,9,Bajo,6.030150753768838,6.75990675990676,-50.0,0.11999999999999988,0.29000000000000004,-3
Avril,UwU,25.53,8,3.19,7.5,7,Alto,23.73,7,56,3.39,8.0,7,Alto,-6.269592476489034,-6.666666666666667,0.0,-0.20000000000000018,-0.5,0
space cowboy,3194,28.45,14,2.03,4.29,9,Medio,27.71,13,56,2.13,4.31,10,Medio,-4.926108374384242,-0.46620046620045624,-11.11111111111111,-0.10000000000000009,-0.019999999999999574,-1
Pulga De Warwick,00001,29.72,22,1.35,2.73,5,Bajo,29.72,22,60,1.35,2.73,5,Bajo,0.0,0.0,0.0,0.0,0.0,0
Ckotooh,LAS,29.13,11,2.65,5.45,11,Medio,26.78,8,58,3.35,7.25,8,Alto,-26.415094339622648,-33.027522935779814,27.27272727272727,-0.7000000000000002,-1.7999999999999998,3
Doryani,POET,29.76,6,4.96,10.0,6,Alto,25.76,8,55,3.22,6.88,8,Medio,35.08064516129032,31.2,-33.33333333333333,1.7399999999999998,3.12,-2
Tenshi No Shi,LAS,27.89,17,1.64,3.53,14,Bajo,27.4,17,60,1.61,3.53,9,Bajo,1.829268292682915,0.0,35.714285714285715,0.029999999999999805,0.0,5
BLACK CAT,PIZZA,25.97,4,6.49,15.0,4,Alto,24.1,4,54,6.03,13.5,4,Alto,7.087827426810477,10.0,0.0,0.45999999999999996,1.5,0
Yusah,LAS,29.87,6,4.98,10.0,3,Medio,29.41,10,58,2.94,5.8,5,Bajo,40.96385542168675,42.00000000000001,-66.66666666666666,2.0400000000000005,4.2,-2
RodriDraco,LAS,31.57,8,3.95,7.5,6,Alto,30.48,7,59,4.35,8.43,7,Alto,-10.126582278481,-12.399999999999995,-16.666666666666664,-0.39999999999999947,-0.9299999999999997,-1
Girl is a gun,LAS,28.28,9,3.14,6.67,6,Medio,26.57,11,56,2.42,5.09,6,Medio,22.92993630573249,23.68815592203898,0.0,0.7200000000000002,1.58,0
Elfaria,1355,27.15,4,6.79,15.0,4,Alto,27.97,6,58,4.66,9.67,6,Alto,31.36966126656848,35.53333333333333,-50.0,2.13,5.33,-2
Wifelershow,7458,28.66,7,4.09,8.57,7,Alto,26.89,5,55,5.38,11.0,5,Alto,-31.54034229828851,-28.354725787631267,28.57142857142857,-1.29,-2.4299999999999997,2
TwilightShade,LAS,28.43,8,3.55,7.5,8,Alto,26.71,9,59,2.97,6.56,9,Medio,16.338028169014073,12.533333333333339,-12.5,0.5799999999999996,0.9400000000000004,-1
detructor444,LAS,31.3,12,2.61,5.0,10,Medio,29.79,12,58,2.48,4.83,12,Medio,4.9808429118773905,3.399999999999999,-20.0,0.1299999999999999,0.16999999999999993,-2
puro ks,002,28.7,8,3.59,7.5,7,Alto,29.83,7,58,4.26,8.29,7,Alto,-18.662952646239553,-10.533333333333323,0.0,-0.6699999999999999,-0.7899999999999991,0
Swain KFC,COMBO,29.19,9,3.24,6.67,6,Medio,29.58,8,55,3.7,6.88,5,Medio,-14.19753086419753,-3.1484257871064467,16.666666666666664,-0.45999999999999996,-0.20999999999999996,1
差异顶部,ASR,30.17,5,6.03,12.0,5,Alto,27.59,5,54,5.52,10.8,5,Alto,8.457711442786081,9.999999999999993,0.0,0.5100000000000007,1.1999999999999993,0
Ecch,LAS,28.09,7,4.01,8.57,7,Alto,24.71,8,54,3.09,6.75,6,Medio,22.942643391521198,21.236872812135356,14.285714285714285,0.9199999999999999,1.8200000000000003,1
D4rK Asassin,LAS,30.1,7,4.3,8.57,7,Alto,27.35,11,54,2.49,4.91,5,Bajo,42.09302325581395,42.70711785297549,28.57142857142857,1.8099999999999996,3.66,2
Luis Yeager,LAS,28.56,8,3.57,7.5,8,Alto,28.97,10,59,2.9,5.9,10,Medio,18.76750700280112,21.33333333333333,-25.0,0.6699999999999999,1.5999999999999996,-2
Wagyu,LAS,29.12,8,3.64,7.5,8,Alto,29.71,8,60,3.71,7.5,4,Medio,-1.9230769230769187,0.0,50.0,-0.06999999999999984,0.0,4
BRG Velois,CEL,27.67,7,3.95,8.57,7,Alto,27.45,5,54,5.49,10.8,5,Alto,-38.98734177215189,-26.021003500583433,28.57142857142857,-1.54,-2.2300000000000004,2
kclak,LAS,30.03,8,3.75,7.5,6,Alto,26.92,9,54,2.99,6.0,5,Bajo,20.266666666666662,20.0,16.666666666666664,0.7599999999999998,1.5,1
Sir Friijooliito,sera,26.99,7,3.86,8.57,7,Alto,26.68,8,55,3.33,6.88,8,Medio,13.730569948186524,19.71995332555426,-14.285714285714285,0.5299999999999998,1.6900000000000004,-1
ivvo18,LAS,29.49,9,3.28,6.67,9,Medio,27.48,9,56,3.05,6.22,9,Medio,7.012195121951219,6.746626686656675,0.0,0.22999999999999998,0.4500000000000002,0
T1 DradKhan,SKT,29.33,5,5.87,12.0,5,Alto,30.36,5,60,6.07,12.0,5,Alto,-3.4071550255536653,0.0,0.0,-0.20000000000000018,0.0,0
ƒiuroxy,loveu,27.29,6,4.55,10.0,6,Alto,26.07,5,56,5.21,11.2,5,Alto,-14.505494505494509,-11.999999999999993,16.666666666666664,-0.6600000000000001,-1.1999999999999993,1
MeDeprimoFacil,uwu,27.76,7,3.97,8.57,7,Alto,25.75,7,56,3.68,8.0,7,Alto,7.3047858942065504,6.6511085180863505,0.0,0.29000000000000004,0.5700000000000003,0
hip0frenia,LAS,28.41,5,5.68,12.0,5,Alto,30.11,8,57,3.76,7.12,8,Alto,33.80281690140845,40.666666666666664,-60.0,1.92,4.88,-3
未来の音,1999,29.66,12,2.47,5.0,12,Medio,27.77,8,58,3.47,7.25,8,Alto,-40.48582995951417,-45.0,33.33333333333333,-1.0,-2.25,4
Black Ivy,505,29.1,7,4.16,8.57,7,Alto,26.09,7,55,3.73,7.86,7,Alto,10.336538461538465,8.284714119019835,0.0,0.43000000000000016,0.71,0
Yuta Okkotsu,5805,28.91,5,5.78,12.0,5,Alto,27.45,5,57,5.49,11.4,3,Medio,5.017301038062285,4.9999999999999964,40.0,0.29000000000000004,0.5999999999999996,2
EntrandoEnEsa,LAS,28.26,10,2.83,6.0,8,Medio,27.4,13,59,2.11,4.54,7,Medio,25.441696113074215,24.333333333333332,12.5,0.7200000000000002,1.46,1
eL Dany DT,LAS,30.32,7,4.33,8.57,7,Alto,30.1,9,60,3.34,6.67,7,Medio,22.863741339491924,22.170361726954496,0.0,0.9900000000000002,1.9000000000000004,0
Lucky 38,Luck7,27.86,5,5.57,12.0,5,Alto,27.13,6,58,4.52,9.67,6,Alto,18.850987432675055,19.416666666666668,-20.0,1.0500000000000007,2.33,-1
Black Insomnia,0589,30.14,5,6.03,12.0,5,Alto,29.07,6,58,4.84,9.67,4,Medio,19.7346600331675,19.416666666666668,20.0,1.1900000000000004,2.33,1
juansethekof,LOS,29.71,6,4.95,10.0,6,Alto,28.95,8,59,3.62,7.38,4,Medio,26.86868686868687,26.200000000000003,33.33333333333333,1.33,2.62,2
Белая смерть,АРГ,29.65,11,2.7,5.45,7,Medio,29.14,11,59,2.65,5.36,6,Medio,1.8518518518518614,1.651376146788988,14.285714285714285,0.050000000000000266,0.08999999999999986,1
C13 Damz,LAS,27.93,5,5.59,12.0,5,Alto,29.84,7,60,4.26,8.57,7,Alto,23.79248658318426,28.583333333333332,-40.0,1.33,3.4299999999999997,-2
c a r ö l i n a,ARS,30.92,6,5.15,10.0,6,Alto,29.88,6,59,4.98,9.83,5,Medio,3.300970873786406,1.6999999999999995,16.666666666666664,0.16999999999999993,0.16999999999999993,1
Eifeldor,LAS,29.18,5,5.84,12.0,5,Alto,26.82,5,54,5.36,10.8,5,Alto,8.219178082191773,9.999999999999993,0.0,0.47999999999999954,1.1999999999999993,0
Andreik99,999,29.6,6,4.93,10.0,6,Alto,27.73,5,56,5.55,11.2,5,Alto,-12.576064908722111,-11.999999999999993,16.666666666666664,-0.6200000000000001,-1.1999999999999993,1
jodipe,Ahri,28.78,11,2.62,5.45,4,Bajo,28.78,11,60,2.62,5.45,4,Bajo,0.0,0.0,0.0,0.0,0.0,0
SQUANCHØ,LAS,31.22,15,2.08,4.0,10,Bajo,28.78,14,59,2.06,4.21,11,Medio,0.9615384615384623,-5.249999999999999,-10.0,0.020000000000000018,-0.20999999999999996,-1
AlterMitico,Novus,28.36,16,1.77,3.75,6,Bajo,28.77,16,59,1.8,3.69,7,Bajo,-1.6949152542372896,1.6000000000000014,-16.666666666666664,-0.030000000000000027,0.06000000000000005,-1
DAO FUTURE,LAS,27.45,9,3.05,6.67,4,Medio,26.24,12,60,2.19,5.0,4,Bajo,28.196721311475407,25.037481259370313,0.0,0.8599999999999999,1.67,0
yiyawosao,LAS,28.34,8,3.54,7.5,5,Medio,29.49,11,60,2.68,5.45,6,Medio,24.29378531073446,27.333333333333332,-20.0,0.8599999999999999,2.05,-1
CSSML NDSML,kahoz,28.72,11,2.61,5.45,11,Medio,26.79,11,54,2.44,4.91,11,Medio,6.513409961685822,9.908256880733946,0.0,0.16999999999999993,0.54,0
Zaikologic,Zaik,30.51,9,3.39,6.67,9,Medio,30.35,8,60,3.79,7.5,8,Alto,-11.799410029498523,-12.443778110944528,11.11111111111111,-0.3999999999999999,-0.8300000000000001,1
qdanm,hiim,28.55,6,4.76,10.0,6,Alto,27.24,7,55,3.89,7.86,7,Alto,18.27731092436974,21.4,-16.666666666666664,0.8699999999999997,2.1399999999999997,-1
