Usuario,Tag,HPD_pre,HPD_post,PRTPJ_HPD,NPPD_pre,NPPD_post,PRTPJ_NPPD,DCJ_pre,DCJ_post,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
elSeba11Xx,LAS,1.54,1.48,3.8961038961038996,2.86,2.73,4.545454545454542,4,4,0.0,0.06000000000000005,0.1299999999999999,0
SeeYouSoon,1800,1.11,1.12,-0.9009009009009016,2.22,2.23,-0.4504504504504408,4,5,-25.0,-0.010000000000000009,-0.009999999999999787,-1
CarpinchoGoD,LAS,1.33,2.47,-85.71428571428572,2.73,5.0,-83.15018315018315,9,11,-22.22222222222222,-1.1400000000000001,-2.27,-2
TomPlatz,0000,2.7,2.56,5.18518518518519,6.0,5.6,6.666666666666672,3,3,0.0,0.14000000000000012,0.40000000000000036,0
FRAN MAIRA,3331,1.15,1.17,-1.7391304347826104,2.61,2.7,-3.4482758620689773,5,5,0.0,-0.020000000000000018,-0.0900000000000003,0
Neurus,LAS,1.61,1.65,-2.4844720496894293,3.33,3.41,-2.4024024024024047,15,17,-13.333333333333334,-0.039999999999999813,-0.08000000000000007,-2
EuLeK,LAS,3.08,3.14,-1.9480519480519498,6.67,6.56,1.649175412293858,3,3,0.0,-0.06000000000000005,0.11000000000000032,0
Pappers,LAS,2.07,2.14,-3.381642512077309,4.29,4.31,-0.46620046620045624,5,5,0.0,-0.07000000000000028,-0.019999999999999574,0
KillVMaim,IDFC,2.69,2.65,1.4869888475836444,5.45,5.4,0.9174311926605472,3,3,0.0,0.040000000000000036,0.04999999999999982,0
pancito36,4437,1.55,1.49,3.8709677419354875,3.16,3.18,-0.6329113924050638,4,5,-25.0,0.06000000000000005,-0.020000000000000018,-1
tki44,222,1.16,1.26,-8.620689655172423,2.31,2.45,-6.060606060606066,4,6,-50.0,-0.10000000000000009,-0.14000000000000012,-2
alan2pac,LAS,1.49,1.37,8.053691275167777,3.33,2.95,11.411411411411407,3,3,0.0,0.11999999999999988,0.3799999999999999,0
Aeternum,LAS,1.79,1.86,-3.9106145251396685,3.53,3.67,-3.966005665722383,6,6,0.0,-0.07000000000000006,-0.14000000000000012,0
Nomacitax,0069,1.33,1.3,2.2556390977443628,3.0,3.0,0.0,2,2,0.0,0.030000000000000027,0.0,0
melvin,waos,3.98,2.6,34.67336683417086,8.57,5.5,35.82263710618437,3,3,0.0,1.38,3.0700000000000003,0
Respawn Love,LAS,1.77,1.76,0.56497175141243,4.0,3.86,3.500000000000003,9,9,0.0,0.010000000000000009,0.14000000000000012,0
KrawLee,1997,1.42,1.37,3.521126760563368,3.0,2.9,3.333333333333336,5,5,0.0,0.04999999999999982,0.10000000000000009,0
frN,0202,1.57,1.43,8.917197452229306,3.33,3.06,8.108108108108109,5,5,0.0,0.14000000000000012,0.27,0
Chrollo Lucifer,HxH1,2.82,2.57,8.865248226950355,5.45,5.0,8.256880733944957,6,6,0.0,0.25,0.4500000000000002,0
Ragnar Lodbrok,VLH,2.64,2.71,-2.651515151515145,5.0,5.09,-1.7999999999999972,6,6,0.0,-0.06999999999999984,-0.08999999999999986,0
imMonster,LAS,3.6,3.23,10.27777777777778,7.5,6.22,17.06666666666667,4,2,50.0,0.3700000000000001,1.2800000000000002,2
Marveliano,UCM,2.48,2.04,17.741935483870964,5.45,4.46,18.1651376146789,8,10,-25.0,0.43999999999999995,0.9900000000000002,-2
almostdead,lllll,4.88,3.88,20.491803278688526,10.0,7.86,21.4,6,4,33.33333333333333,1.0,2.1399999999999997,2
TostadiitaOP,Jesi,3.41,3.47,-1.7595307917888579,7.5,7.38,1.6000000000000014,5,5,0.0,-0.06000000000000005,0.1200000000000001,0
pudrete616,LAS,3.58,3.72,-3.9106145251396685,6.67,6.88,-3.1484257871064467,9,8,11.11111111111111,-0.14000000000000012,-0.20999999999999996,1
Rosetta,Lyor,5.09,4.29,15.717092337917482,10.0,8.43,15.700000000000003,6,7,-16.666666666666664,0.7999999999999998,1.5700000000000003,-1
ComeToM,LAS,4.9,5.27,-7.551020408163249,10.0,10.8,-8.000000000000007,6,5,16.666666666666664,-0.3699999999999992,-0.8000000000000007,1
VladSuo,CR7,2.06,2.02,1.9417475728155356,5.0,4.92,1.6000000000000014,4,3,25.0,0.040000000000000036,0.08000000000000007,1
Khada jhin LIBRA,jhin4,1.63,1.48,9.202453987730056,3.33,3.0,9.909909909909912,8,8,0.0,0.1499999999999999,0.33000000000000007,0
Nagumo Hajime,LAS,3.84,3.68,4.166666666666659,8.57,7.71,10.035005834305721,3,3,0.0,0.1599999999999997,0.8600000000000003,0
Labix,Goat,2.82,2.51,10.992907801418442,6.67,6.0,10.044977511244376,6,7,-16.666666666666664,0.31000000000000005,0.6699999999999999,-1
Zheva,LAS,2.64,2.08,21.21212121212121,5.45,4.75,12.84403669724771,10,8,20.0,0.56,0.7000000000000002,2
Koreback,LAS,2.11,2.15,-1.8957345971564,4.62,4.5,2.5974025974025996,7,7,0.0,-0.040000000000000036,0.1200000000000001,0
Ðarkîn bøw,GoNxt,1.81,1.97,-8.839779005524857,3.75,4.46,-18.933333333333334,8,3,62.5,-0.15999999999999992,-0.71,5
Mikel,SEEEX,1.86,1.44,22.58064516129033,4.0,3.17,20.75,7,6,14.285714285714285,0.42000000000000015,0.8300000000000001,1
Little Bandido,LAS,1.55,1.55,0.0,3.16,3.11,1.5822784810126667,8,8,0.0,0.0,0.050000000000000266,0
KNONIMO EL FURIA,LAS,2.54,2.54,0.0,5.0,4.92,1.6000000000000014,5,5,0.0,0.0,0.08000000000000007,0
PesoPesado95,LAS,3.03,2.77,8.580858085808575,6.0,5.5,8.333333333333332,10,10,0.0,0.2599999999999998,0.5,0
Sv3n,LAS,4.3,3.5,18.604651162790695,8.57,7.25,15.402567094515756,7,8,-14.285714285714285,0.7999999999999998,1.3200000000000003,-1
ZOYN,LAS,1.99,1.87,6.030150753768838,4.29,4.0,6.75990675990676,6,9,-50.0,0.11999999999999988,0.29000000000000004,-3
Avril,UwU,3.19,3.39,-6.269592476489034,7.5,8.0,-6.666666666666667,7,7,0.0,-0.20000000000000018,-0.5,0
space cowboy,3194,2.03,2.13,-4.926108374384242,4.29,4.31,-0.46620046620045624,9,10,-11.11111111111111,-0.10000000000000009,-0.019999999999999574,-1
Pulga De Warwick,00001,1.35,1.35,0.0,2.73,2.73,0.0,5,5,0.0,0.0,0.0,0
Ckotooh,LAS,2.65,3.35,-26.415094339622648,5.45,7.25,-33.027522935779814,11,8,27.27272727272727,-0.7000000000000002,-1.7999999999999998,3
Doryani,POET,4.96,3.22,35.08064516129032,10.0,6.88,31.2,6,8,-33.33333333333333,1.7399999999999998,3.12,-2
Tenshi No Shi,LAS,1.64,1.61,1.829268292682915,3.53,3.53,0.0,14,9,35.714285714285715,0.029999999999999805,0.0,5
BLACK CAT,PIZZA,6.49,6.03,7.087827426810477,15.0,13.5,10.0,4,4,0.0,0.45999999999999996,1.5,0
Yusah,LAS,4.98,2.94,40.96385542168675,10.0,5.8,42.00000000000001,3,5,-66.66666666666666,2.0400000000000005,4.2,-2
RodriDraco,LAS,3.95,4.35,-10.126582278481,7.5,8.43,-12.399999999999995,6,7,-16.666666666666664,-0.39999999999999947,-0.9299999999999997,-1
Girl is a gun,LAS,3.14,2.42,22.92993630573249,6.67,5.09,23.68815592203898,6,6,0.0,0.7200000000000002,1.58,0
Elfaria,1355,6.79,4.66,31.36966126656848,15.0,9.67,35.53333333333333,4,6,-50.0,2.13,5.33,-2
Wifelershow,7458,4.09,5.38,-31.54034229828851,8.57,11.0,-28.354725787631267,7,5,28.57142857142857,-1.29,-2.4299999999999997,2
TwilightShade,LAS,3.55,2.97,16.338028169014073,7.5,6.56,12.533333333333339,8,9,-12.5,0.5799999999999996,0.9400000000000004,-1
detructor444,LAS,2.61,2.48,4.9808429118773905,5.0,4.83,3.399999999999999,10,12,-20.0,0.1299999999999999,0.16999999999999993,-2
puro ks,002,3.59,4.26,-18.662952646239553,7.5,8.29,-10.533333333333323,7,7,0.0,-0.6699999999999999,-0.7899999999999991,0
Swain KFC,COMBO,3.24,3.7,-14.19753086419753,6.67,6.88,-3.1484257871064467,6,5,16.666666666666664,-0.45999999999999996,-0.20999999999999996,1
差异顶部,ASR,6.03,5.52,8.457711442786081,12.0,10.8,9.999999999999993,5,5,0.0,0.5100000000000007,1.1999999999999993,0
Ecch,LAS,4.01,3.09,22.942643391521198,8.57,6.75,21.236872812135356,7,6,14.285714285714285,0.9199999999999999,1.8200000000000003,1
D4rK Asassin,LAS,4.3,2.49,42.09302325581395,8.57,4.91,42.70711785297549,7,5,28.57142857142857,1.8099999999999996,3.66,2
Luis Yeager,LAS,3.57,2.9,18.76750700280112,7.5,5.9,21.33333333333333,8,10,-25.0,0.6699999999999999,1.5999999999999996,-2
Wagyu,LAS,3.64,3.71,-1.9230769230769187,7.5,7.5,0.0,8,4,50.0,-0.06999999999999984,0.0,4
BRG Velois,CEL,3.95,5.49,-38.98734177215189,8.57,10.8,-26.021003500583433,7,5,28.57142857142857,-1.54,-2.2300000000000004,2
kclak,LAS,3.75,2.99,20.266666666666662,7.5,6.0,20.0,6,5,16.666666666666664,0.7599999999999998,1.5,1
Sir Friijooliito,sera,3.86,3.33,13.730569948186524,8.57,6.88,19.71995332555426,7,8,-14.285714285714285,0.5299999999999998,1.6900000000000004,-1
ivvo18,LAS,3.28,3.05,7.012195121951219,6.67,6.22,6.746626686656675,9,9,0.0,0.22999999999999998,0.4500000000000002,0
T1 DradKhan,SKT,5.87,6.07,-3.4071550255536653,12.0,12.0,0.0,5,5,0.0,-0.20000000000000018,0.0,0
ƒiuroxy,loveu,4.55,5.21,-14.505494505494509,10.0,11.2,-11.999999999999993,6,5,16.666666666666664,-0.6600000000000001,-1.1999999999999993,1
MeDeprimoFacil,uwu,3.97,3.68,7.3047858942065504,8.57,8.0,6.6511085180863505,7,7,0.0,0.29000000000000004,0.5700000000000003,0
hip0frenia,LAS,5.68,3.76,33.80281690140845,12.0,7.12,40.666666666666664,5,8,-60.0,1.92,4.88,-3
未来の音,1999,2.47,3.47,-40.48582995951417,5.0,7.25,-45.0,12,8,33.33333333333333,-1.0,-2.25,4
Black Ivy,505,4.16,3.73,10.336538461538465,8.57,7.86,8.284714119019835,7,7,0.0,0.43000000000000016,0.71,0
Yuta Okkotsu,5805,5.78,5.49,5.017301038062285,12.0,11.4,4.9999999999999964,5,3,40.0,0.29000000000000004,0.5999999999999996,2
EntrandoEnEsa,LAS,2.83,2.11,25.441696113074215,6.0,4.54,24.333333333333332,8,7,12.5,0.7200000000000002,1.46,1
eL Dany DT,LAS,4.33,3.34,22.863741339491924,8.57,6.67,22.170361726954496,7,7,0.0,0.9900000000000002,1.9000000000000004,0
Lucky 38,Luck7,5.57,4.52,18.850987432675055,12.0,9.67,19.416666666666668,5,6,-20.0,1.0500000000000007,2.33,-1
Black Insomnia,0589,6.03,4.84,19.7346600331675,12.0,9.67,19.416666666666668,5,4,20.0,1.1900000000000004,2.33,1
juansethekof,LOS,4.95,3.62,26.86868686868687,10.0,7.38,26.200000000000003,6,4,33.33333333333333,1.33,2.62,2
Белая смерть,АРГ,2.7,2.65,1.8518518518518614,5.45,5.36,1.651376146788988,7,6,14.285714285714285,0.050000000000000266,0.08999999999999986,1
C13 Damz,LAS,5.59,4.26,23.79248658318426,12.0,8.57,28.583333333333332,5,7,-40.0,1.33,3.4299999999999997,-2
c a r ö l i n a,ARS,5.15,4.98,3.300970873786406,10.0,9.83,1.6999999999999995,6,5,16.666666666666664,0.16999999999999993,0.16999999999999993,1
Eifeldor,LAS,5.84,5.36,8.219178082191773,12.0,10.8,9.999999999999993,5,5,0.0,0.47999999999999954,1.1999999999999993,0
Andreik99,999,4.93,5.55,-12.576064908722111,10.0,11.2,-11.999999999999993,6,5,16.666666666666664,-0.6200000000000001,-1.1999999999999993,1
jodipe,Ahri,2.62,2.62,0.0,5.45,5.45,0.0,4,4,0.0,0.0,0.0,0
SQUANCHØ,LAS,2.08,2.06,0.9615384615384623,4.0,4.21,-5.249999999999999,10,11,-10.0,0.020000000000000018,-0.20999999999999996,-1
AlterMitico,Novus,1.77,1.8,-1.6949152542372896,3.75,3.69,1.6000000000000014,6,7,-16.666666666666664,-0.030000000000000027,0.06000000000000005,-1
DAO FUTURE,LAS,3.05,2.19,28.196721311475407,6.67,5.0,25.037481259370313,4,4,0.0,0.8599999999999999,1.67,0
yiyawosao,LAS,3.54,2.68,24.29378531073446,7.5,5.45,27.333333333333332,5,6,-20.0,0.8599999999999999,2.05,-1
CSSML NDSML,kahoz,2.61,2.44,6.513409961685822,5.45,4.91,9.908256880733946,11,11,0.0,0.16999999999999993,0.54,0
Zaikologic,Zaik,3.39,3.79,-11.799410029498523,6.67,7.5,-12.443778110944528,9,8,11.11111111111111,-0.3999999999999999,-0.8300000000000001,1
qdanm,hiim,4.76,3.89,18.27731092436974,10.0,7.86,21.4,6,7,-16.666666666666664,0.8699999999999997,2.1399999999999997,-1
OMG Ken,LAS,4.79,5.36,-11.899791231732783,10.0,11.0,-10.0,6,5,16.666666666666664,-0.5700000000000003,-1.0,1
aKaiRe,LAS,4.82,4.43,8.091286307053954,10.0,9.0,10.0,6,6,0.0,0.39000000000000057,1.0,0
Emahtz,LAS,3.5,2.66,23.999999999999996,7.5,6.33,15.6,6,5,16.666666666666664,0.8399999999999999,1.17,1
puckeffideb,LAS,2.37,2.34,1.2658227848101369,4.62,4.67,-1.0822510822510785,9,10,-11.11111111111111,0.03000000000000025,-0.04999999999999982,-1
Come Around Me,diazk,2.57,3.43,-33.46303501945527,5.45,7.38,-35.41284403669724,7,4,42.857142857142854,-0.8600000000000003,-1.9299999999999997,3
NeuraNura,Brem,1.68,2.36,-40.476190476190474,3.53,5.0,-41.643059490084994,8,7,12.5,-0.6799999999999999,-1.4700000000000002,1
xWarRx,LAS,3.61,4.1,-13.573407202216062,7.5,7.86,-4.800000000000004,8,7,12.5,-0.48999999999999977,-0.3600000000000003,1
Jaskisceviciuss,LAS,2.51,2.46,1.9920318725099533,5.0,5.18,-3.5999999999999943,12,11,8.333333333333332,0.04999999999999982,-0.17999999999999972,1
Don Titi,LAS,3.77,3.11,17.50663129973475,7.5,6.33,15.6,4,5,-25.0,0.6600000000000001,1.17,-1
SOD Un Oso Wacho,9543,4.09,4.25,-3.911980440097803,10.0,9.17,8.3,6,5,16.666666666666664,-0.16000000000000014,0.8300000000000001,1
Ziggsmund Freud,PANDI,4.73,4.25,10.147991543340389,10.0,8.29,17.10000000000001,6,7,-16.666666666666664,0.4800000000000004,1.7100000000000009,-1
Rook Gendarmerie,LAS,4.89,3.56,27.198364008179954,10.0,7.12,28.799999999999997,6,6,0.0,1.3299999999999996,2.88,0
Tea Lover,gkrmp,3.61,3.05,15.51246537396122,7.5,6.67,11.066666666666668,5,9,-80.0,0.56,0.8300000000000001,-4
chérie lueur,maia,3.88,3.25,16.237113402061855,8.57,7.0,18.319719953325556,7,8,-14.285714285714285,0.6299999999999999,1.5700000000000003,-1
IIIIIIIIIIIII,8413,5.49,4.43,19.30783242258653,12.0,9.67,19.416666666666668,5,4,20.0,1.0600000000000005,2.33,1
AlanBritoDl,LAS,4.91,4.08,16.904276985743383,10.0,8.57,14.299999999999995,6,6,0.0,0.8300000000000001,1.4299999999999997,0
jeshuco,777,1.58,1.47,6.962025316455701,3.16,2.95,6.645569620253163,10,9,10.0,0.1100000000000001,0.20999999999999996,1
zun,TLUCH,2.72,1.47,45.95588235294118,5.45,2.81,48.440366972477065,5,3,40.0,1.2500000000000002,2.64,2
R Inst,8092,7.22,5.71,20.914127423822713,15.0,11.8,21.33333333333333,4,5,-25.0,1.5099999999999998,3.1999999999999993,-1
Sephiroth,SSSSS,4.75,3.02,36.421052631578945,10.0,5.5,45.0,5,8,-60.0,1.73,4.5,-3
