Usuario,Tag,HPD_pre,HPD_post,PRTPJ_HPD,NPPD_pre,NPPD_post,PRTPJ_NPPD,DCJ_pre,DCJ_post,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
the adc is,UwU,2.03,2.01,0.9852216748768483,4.29,4.23,1.3986013986013894,3,4,-33.33333333333333,0.020000000000000018,0.05999999999999961,-1
TilinDijoElBardo,LAS,2.21,2.28,-3.1674208144796308,4.62,4.58,0.8658008658008665,3,3,0.0,-0.06999999999999984,0.040000000000000036,0
Felpa16,LAS,1.29,1.27,1.5503875968992262,2.5,2.59,-3.5999999999999943,7,4,42.857142857142854,0.020000000000000018,-0.08999999999999986,3
Chinche Poroto,999,1.94,1.67,13.917525773195877,4.29,3.6,16.083916083916083,13,9,30.76923076923077,0.27,0.69,4
TeemoLicion,002,1.24,1.26,-1.6129032258064528,2.5,2.5,0.0,13,12,7.6923076923076925,-0.020000000000000018,0.0,1
NoxFler,LAS,1.72,1.86,-8.139534883720938,3.75,4.0,-6.666666666666667,2,2,0.0,-0.14000000000000012,-0.25,0
Princesa Support,3505,2.14,2.53,-18.224299065420546,4.29,5.09,-18.648018648018645,12,7,41.66666666666667,-0.3899999999999997,-0.7999999999999998,5
Weyes Blood,0519,3.45,3.45,0.0,7.5,7.5,0.0,8,8,0.0,0.0,0.0,0
katseye enjoyerr,T1LAS,1.64,1.78,-8.536585365853666,3.53,3.87,-9.631728045325788,7,7,0.0,-0.14000000000000012,-0.3400000000000003,0
Vaundy,3671,4.11,3.89,5.3527980535279855,8.57,8.14,5.017502917152855,5,5,0.0,0.2200000000000002,0.4299999999999997,0
Â Û R Ë Ł Ï Ã H,LAS,2.45,2.77,-13.061224489795912,4.62,5.5,-19.047619047619044,4,9,-125.0,-0.31999999999999984,-0.8799999999999999,-5
Aress 2431,NDS,1.53,1.66,-8.496732026143784,3.0,3.16,-5.3333333333333375,8,7,12.5,-0.1299999999999999,-0.16000000000000014,1
CrimenMusical,LAS,2.48,2.17,12.500000000000004,5.0,4.54,9.2,5,5,0.0,0.31000000000000005,0.45999999999999996,0
Gla,LAS,1.23,1.25,-1.6260162601626031,2.5,2.55,-1.9999999999999927,19,22,-15.789473684210526,-0.020000000000000018,-0.04999999999999982,-3
kilefaa,LAS,3.71,3.0,19.137466307277627,7.5,6.0,20.0,4,5,-25.0,0.71,1.5,-1
Affection,1111,2.41,2.29,4.979253112033199,5.45,5.27,3.302752293577993,8,7,12.5,0.1200000000000001,0.1800000000000006,1
Dvd,2799,4.68,4.94,-5.5555555555555705,10.0,11.0,-10.0,6,3,50.0,-0.2600000000000007,-1.0,3
Michael Olise,6x7vn,1.36,1.26,7.352941176470594,3.0,2.84,5.3333333333333375,11,9,18.181818181818183,0.10000000000000009,0.16000000000000014,2
INSECTOS,MVP,1.03,0.96,6.796116504854374,2.22,2.03,8.558558558558575,5,5,0.0,0.07000000000000006,0.1900000000000004,0
Lucas,Abs,0.84,0.83,1.1904761904761916,1.88,1.84,2.1276595744680753,7,7,0.0,0.010000000000000009,0.039999999999999813,0
Todoko,LAS,1.76,1.73,1.7045454545454561,3.75,3.69,1.6000000000000014,6,6,0.0,0.030000000000000027,0.06000000000000005,0
Ranser,434,3.54,3.36,5.084745762711869,7.5,7.12,5.0666666666666655,8,7,12.5,0.18000000000000016,0.3799999999999999,1
LoKio,LAS,1.34,1.61,-20.149253731343283,3.16,3.6,-13.924050632911388,14,15,-7.142857142857142,-0.27,-0.43999999999999995,-1
Chosar,SPQR,4.65,5.13,-10.32258064516128,10.0,11.2,-11.999999999999993,5,5,0.0,-0.47999999999999954,-1.1999999999999993,0
Nagi,2880,2.45,3.28,-33.87755102040815,5.45,7.12,-30.64220183486238,11,8,27.27272727272727,-0.8299999999999996,-1.67,3
YusiGuma,LAS,1.4,1.26,9.999999999999993,3.16,2.84,10.12658227848102,6,6,0.0,0.1399999999999999,0.3200000000000003,0
Webo,LAS,2.48,1.88,24.19354838709678,5.45,4.14,24.03669724770643,6,9,-50.0,0.6000000000000001,1.3100000000000005,-3
ferkk,111,3.37,2.79,17.210682492581604,7.5,6.33,15.6,8,9,-12.5,0.5800000000000001,1.17,-1
rer,16180,3.6,2.87,20.27777777777778,7.5,6.11,18.533333333333328,8,5,37.5,0.73,1.3899999999999997,3
Kuro,IRON,4.63,2.98,35.63714902807775,10.0,6.33,36.7,6,9,-50.0,1.65,3.67,-3
OddsAgainstMe,1905,1.39,1.37,1.4388489208632946,3.0,3.0,0.0,8,7,12.5,0.019999999999999796,0.0,1
Doron,Elle,2.31,2.27,1.731601731601733,5.0,5.0,0.0,5,6,-20.0,0.040000000000000036,0.0,-1
La magia del sur,4444,2.15,1.84,14.418604651162784,4.62,4.23,8.441558441558435,11,13,-18.181818181818183,0.30999999999999983,0.3899999999999997,-2
Luuuu,max,2.25,4.59,-104.0,5.0,9.5,-90.0,4,5,-25.0,-2.34,-4.5,-1
0FF THE GRID,LAS,2.35,2.49,-5.957446808510643,5.0,5.4,-8.000000000000007,6,6,0.0,-0.14000000000000012,-0.40000000000000036,0
kaybroak,MVP,3.52,3.3,6.250000000000005,7.5,7.12,5.0666666666666655,3,3,0.0,0.2200000000000002,0.3799999999999999,0
KasFesp,LAS,7.01,7.12,-1.569186875891588,15.0,14.5,3.3333333333333335,4,4,0.0,-0.11000000000000032,0.5,0
Salteño Promedio,ups,1.42,1.48,-4.2253521126760605,3.0,3.11,-3.6666666666666625,12,13,-8.333333333333332,-0.06000000000000005,-0.10999999999999988,-1
zzz,trap,1.66,1.49,10.240963855421684,3.53,3.24,8.215297450424917,13,11,15.384615384615385,0.16999999999999993,0.2899999999999996,2
