Usuario,Tag,THT,ND,TPP,HPD,NPPD,DCJ,Riesgo
Josedeoro,RECA,31.35,20,58,1.57,2.9,8,Bajo
chinoo,1200,27.75,11,60,2.52,5.45,5,Bajo
maidenless,SAPEE,25.17,16,56,1.57,3.5,12,Bajo
elSeba11Xx,LAS,32.52,22,60,1.48,2.73,4,Bajo
SeeYouSoon,1800,29.19,26,58,1.12,2.23,5,Bajo
CarpinchoGoD,LAS,27.14,11,55,2.47,5.0,11,Medio
TomPlatz,0000,25.56,10,56,2.56,5.6,3,Bajo
FRAN MAIRA,3331,23.48,20,54,1.17,2.7,5,Bajo
Neurus,LAS,28.12,17,58,1.65,3.41,17,Bajo
EuLeK,LAS,28.26,9,59,3.14,6.56,3,Bajo
Pappers,LAS,27.83,13,56,2.14,4.31,5,Bajo
KillVMaim,IDFC,26.47,10,54,2.65,5.4,3,Bajo
pancito36,4437,25.27,17,54,1.49,3.18,5,Bajo
tki44,222,27.79,22,54,1.26,2.45,6,Bajo
alan2pac,LAS,26.09,19,56,1.37,2.95,3,Bajo
Aeternum,LAS,27.96,15,55,1.86,3.67,6,Bajo
Nomacitax,0069,23.49,18,54,1.3,3.0,2,Bajo
melvin,waos,25.98,10,55,2.6,5.5,3,Bajo
Respawn Love,LAS,24.68,14,54,1.76,3.86,9,Bajo
KrawLee,1997,27.32,20,58,1.37,2.9,5,Bajo
frN,0202,25.66,18,55,1.43,3.06,5,Bajo
Chrollo Lucifer,HxH1,28.25,11,55,2.57,5.0,6,Medio
Ragnar Lodbrok,VLH,29.77,11,56,2.71,5.09,6,Medio
imMonster,LAS,29.07,9,56,3.23,6.22,2,Bajo
Marveliano,UCM,26.53,13,58,2.04,4.46,10,Medio
almostdead,lllll,27.14,7,55,3.88,7.86,4,Medio
TostadiitaOP,Jesi,27.78,8,59,3.47,7.38,5,Medio
pudrete616,LAS,29.73,8,55,3.72,6.88,8,Medio
Rosetta,Lyor,30.01,7,59,4.29,8.43,7,Alto
ComeToM,LAS,26.36,5,54,5.27,10.8,5,Alto
VladSuo,CR7,24.23,12,59,2.02,4.92,3,Bajo
Khada jhin LIBRA,jhin4,29.63,20,60,1.48,3.0,8,Bajo
Nagumo Hajime,LAS,25.73,7,54,3.68,7.71,3,Medio
Labix,Goat,22.55,9,54,2.51,6.0,7,Medio
Zheva,LAS,25.0,12,57,2.08,4.75,8,Medio
Koreback,LAS,25.82,12,54,2.15,4.5,7,Medio
Ðarkîn bøw,GoNxt,25.6,13,58,1.97,4.46,3,Bajo
Mikel,SEEEX,25.85,18,57,1.44,3.17,6,Bajo
Little Bandido,LAS,27.83,18,56,1.55,3.11,8,Bajo
KNONIMO EL FURIA,LAS,30.46,12,59,2.54,4.92,5,Bajo
PesoPesado95,LAS,27.68,10,55,2.77,5.5,10,Medio
Sv3n,LAS,28.01,8,58,3.5,7.25,8,Alto
ZOYN,LAS,28.09,15,60,1.87,4.0,9,Bajo
Avril,UwU,23.73,7,56,3.39,8.0,7,Alto
space cowboy,3194,27.71,13,56,2.13,4.31,10,Medio
Pulga De Warwick,00001,29.72,22,60,1.35,2.73,5,Bajo
Ckotooh,LAS,26.78,8,58,3.35,7.25,8,Alto
Doryani,POET,25.76,8,55,3.22,6.88,8,Medio
Tenshi No Shi,LAS,27.4,17,60,1.61,3.53,9,Bajo
BLACK CAT,PIZZA,24.1,4,54,6.03,13.5,4,Alto
Yusah,LAS,29.41,10,58,2.94,5.8,5,Bajo
RodriDraco,LAS,30.48,7,59,4.35,8.43,7,Alto
Girl is a gun,LAS,26.57,11,56,2.42,5.09,6,Medio
Elfaria,1355,27.97,6,58,4.66,9.67,6,Alto
Wifelershow,7458,26.89,5,55,5.38,11.0,5,Alto
TwilightShade,LAS,26.71,9,59,2.97,6.56,9,Medio
detructor444,LAS,29.79,12,58,2.48,4.83,12,Medio
puro ks,002,29.83,7,58,4.26,8.29,7,Alto
Swain KFC,COMBO,29.58,8,55,3.7,6.88,5,Medio
差异顶部,ASR,27.59,5,54,5.52,10.8,5,Alto
Ecch,LAS,24.71,8,54,3.09,6.75,6,Medio
D4rK Asassin,LAS,27.35,11,54,2.49,4.91,5,Bajo
Luis Yeager,LAS,28.97,10,59,2.9,5.9,10,Medio
Wagyu,LAS,29.71,8,60,3.71,7.5,4,Medio
BRG Velois,CEL,27.45,5,54,5.49,10.8,5,Alto
kclak,LAS,26.92,9,54,2.99,6.0,5,Bajo
Sir Friijooliito,sera,26.68,8,55,3.33,6.88,8,Medio
ivvo18,LAS,27.48,9,56,3.05,6.22,9,Medio
T1 DradKhan,SKT,30.36,5,60,6.07,12.0,5,Alto
ƒiuroxy,loveu,26.07,5,56,5.21,11.2,5,Alto
MeDeprimoFacil,uwu,25.75,7,56,3.68,8.0,7,Alto
hip0frenia,LAS,30.11,8,57,3.76,7.12,8,Alto
未来の音,1999,27.77,8,58,3.47,7.25,8,Alto
Black Ivy,505,26.09,7,55,3.73,7.86,7,Alto
Yuta Okkotsu,5805,27.45,5,57,5.49,11.4,3,Medio
EntrandoEnEsa,LAS,27.4,13,59,2.11,4.54,7,Medio
eL Dany DT,LAS,30.1,9,60,3.34,6.67,7,Medio
Lucky 38,Luck7,27.13,6,58,4.52,9.67,6,Alto
Black Insomnia,0589,29.07,6,58,4.84,9.67,4,Medio
juansethekof,LOS,28.95,8,59,3.62,7.38,4,Medio
Белая смерть,АРГ,29.14,11,59,2.65,5.36,6,Medio
C13 Damz,LAS,29.84,7,60,4.26,8.57,7,Alto
c a r ö l i n a,ARS,29.88,6,59,4.98,9.83,5,Medio
Eifeldor,LAS,26.82,5,54,5.36,10.8,5,Alto
Andreik99,999,27.73,5,56,5.55,11.2,5,Alto
jodipe,Ahri,28.78,11,60,2.62,5.45,4,Bajo
SQUANCHØ,LAS,28.78,14,59,2.06,4.21,11,Medio
AlterMitico,Novus,28.77,16,59,1.8,3.69,7,Bajo
DAO FUTURE,LAS,26.24,12,60,2.19,5.0,4,Bajo
yiyawosao,LAS,29.49,11,60,2.68,5.45,6,Medio
CSSML NDSML,kahoz,26.79,11,54,2.44,4.91,11,Medio
Zaikologic,Zaik,30.35,8,60,3.79,7.5,8,Alto
qdanm,hiim,27.24,7,55,3.89,7.86,7,Alto
OMG Ken,LAS,26.79,5,55,5.36,11.0,5,Alto
aKaiRe,LAS,26.61,6,54,4.43,9.0,6,Alto
Emahtz,LAS,23.9,9,57,2.66,6.33,5,Bajo
puckeffideb,LAS,28.13,12,56,2.34,4.67,10,Medio
Come Around Me,diazk,27.43,8,59,3.43,7.38,4,Medio
NeuraNura,Brem,25.97,11,55,2.36,5.0,7,Medio
xWarRx,LAS,28.73,7,55,4.1,7.86,7,Alto
Jaskisceviciuss,LAS,27.1,11,57,2.46,5.18,11,Medio
Don Titi,LAS,28.0,9,57,3.11,6.33,5,Medio
SOD Un Oso Wacho,9543,25.53,6,55,4.25,9.17,5,Medio
Ziggsmund Freud,PANDI,29.73,7,58,4.25,8.29,7,Alto
Rook Gendarmerie,LAS,28.5,8,57,3.56,7.12,6,Alto
Tea Lover,gkrmp,27.41,9,60,3.05,6.67,9,Medio
chérie lueur,maia,25.99,8,56,3.25,7.0,8,Medio
IIIIIIIIIIIII,8413,26.57,6,58,4.43,9.67,4,Medio
AlanBritoDl,LAS,28.57,7,60,4.08,8.57,6,Alto
jeshuco,777,28.0,19,56,1.47,2.95,9,Bajo
zun,TLUCH,30.8,21,59,1.47,2.81,3,Bajo
Sephiroth,SSSSS,30.23,10,55,3.02,5.5,8,Medio
R Inst,8092,28.55,5,59,5.71,11.8,5,Alto
