Usuario,Tag,THT,ND,HPD,DCJ,Riesgo
SQUANCHØ,LAS,37.62,14,2.69,14,0
AlterMitico,Novus,22.56,7,3.22,3,1
DAO FUTURE,LAS,14.88,10,1.49,5,0
yiyawosao,LAS,19.5,7,2.79,2,0
CSSML NDSML,kahoz,24.07,9,2.67,5,0
Zaikologic,Zaik,13.12,6,2.19,2,0
qdanm,hiim,33.98,12,2.83,10,0
OMG Ken,LAS,20.67,11,1.88,7,0
aKaiRe,LAS,11.13,7,1.59,2,0
Emahtz,LAS,23.9,9,2.66,4,0
puckeffideb,LAS,27.6,11,2.51,5,0
Come Around Me,diazk,24.07,9,2.67,5,0
NeuraNura,Brem,10.52,6,1.75,1,0
xWarRx,LAS,18.22,10,1.82,7,0
Jaskisceviciuss,LAS,31.6,8,3.95,3,1
Don Titi,LAS,18.32,11,1.67,4,0
SOD Un Oso Wacho,9543,16.94,10,1.69,5,0
Ziggsmund Freud,PANDI,16.59,7,2.37,3,0
Rook Gendarmerie,LAS,19.74,10,1.97,4,0
Tea Lover,gkrmp,13.16,7,1.88,2,0
chérie lueur,maia,29.67,11,2.7,5,0
IIIIIIIIIIIII,8413,7.85,6,1.31,2,0
AlanBritoDl,LAS,23.94,10,2.39,3,0
jeshuco,777,16.91,7,2.42,3,0
zun,TLUCH,33.9,12,2.82,6,0
R Inst,8092,22.2,10,2.22,7,0
Sephiroth,SSSSS,16.66,9,1.85,2,0
