Usuario,Tag,THT,ND,HPD,NPPD,DCJ,Riesgo
RJAV,1998,48.17,23,2.09,4.26,11,Medio
Nestornadoxs,LAS,46.54,23,2.02,4.26,7,Medio
Reish99,2001,48.08,30,1.6,3.27,5,Bajo
MadLife,NCS,46.44,20,2.32,4.9,13,Medio
LoGoZ,LAS,47.9,24,2.0,4.08,7,Medio
SkeeLetor,LAS,47.01,18,2.61,5.44,10,Medio
Fernecito,ConCo,49.86,24,2.08,4.08,7,Medio
Gekidou,512,48.36,33,1.47,2.97,14,Bajo
regicida,LAS69,48.7,29,1.68,3.38,13,Bajo
Bling Bling,lowie,43.91,28,1.57,3.5,4,Bajo
Asa Mitaka,Kelly,47.04,34,1.38,2.88,5,Bajo
Thom Merrilin,LAS,48.98,17,2.88,5.76,6,Medio
Thaizor,LAS,47.5,23,2.07,4.26,6,Medio
Pingu,SEES,46.49,28,1.66,3.5,3,Bajo
SinverGWENza,Gwen,48.28,30,1.61,3.27,6,Bajo
222369,222,48.48,15,3.23,6.53,8,Medio
Mewi,LAS,45.04,17,2.65,5.76,7,Medio
moko,1040,44.69,9,4.97,10.33,9,Alto
Barry Chopper,LAS,45.91,30,1.53,3.27,10,Bajo
Matisinho,000,48.58,22,2.21,4.45,5,Bajo
Amal2,LAS,46.88,24,1.95,4.08,8,Medio
Dsá,Meins,48.56,20,2.43,4.9,6,Medio
Takirø,弓の神7R,47.25,29,1.63,3.38,9,Bajo
Teemomazos,PER,45.56,27,1.69,3.63,11,Bajo
LoboAlfaKevin,LAS,50.51,32,1.58,3.06,9,Bajo
TeShacølaCtM,LAS,42.69,32,1.33,3.06,5,Bajo
Pirlo,ush,48.96,23,2.13,4.26,7,Medio
Dito,rey,47.76,21,2.27,4.67,13,Medio
ignaa42,LAS,45.43,22,2.06,4.45,13,Medio
Mvko,LAS,47.67,32,1.49,3.03,9,Bajo
el prokilll,LAS,50.43,18,2.8,5.44,4,Bajo
kenyu3,LAS,45.8,20,2.29,4.9,12,Medio
jalamee,LAS,45.77,31,1.48,3.16,2,Bajo
Muerto,666,45.04,27,1.67,3.59,4,Bajo
ySan97,f22b2,45.91,27,1.7,3.63,15,Bajo
SOUL,JPN,44.37,20,2.22,4.7,20,Medio
Joa,GLHF,45.6,26,1.75,3.77,12,Bajo
Sunmy,LAS,46.97,16,2.94,6.12,11,Medio
Felo,BEAR,46.54,12,3.88,8.17,12,Alto
77pablito,CAI,50.91,24,2.12,4.08,4,Bajo
RP Glasman2,LAS,46.03,30,1.53,3.27,7,Bajo
El Rey Henry,KING,45.32,13,3.49,7.54,6,Alto
ATC PØLPHOENIX,LAS1,46.6,21,2.22,4.67,6,Medio
Whiskas,Curru,47.33,21,2.25,4.67,11,Medio
Oticangi,PPP,46.64,33,1.41,2.97,6,Bajo
RIP in peperonni,LAS,45.87,29,1.58,3.38,13,Bajo
ZT4,LAS,46.19,27,1.71,3.56,12,Bajo
sanzok,LAS,47.31,38,1.25,2.58,6,Bajo
IlachOne,6381,47.72,27,1.77,3.63,8,Bajo
Levhen,LAS,46.52,28,1.66,3.5,4,Bajo
Saidpalao,AMPAY,43.8,39,1.12,2.51,3,Bajo
ajinomen,9038,41.16,27,1.52,3.52,4,Bajo
Lordans,6969,32.85,26,1.26,3.77,6,Bajo
LIT KILLAH,412,46.31,34,1.36,2.88,11,Bajo
vamosadecirquesi,LAS,47.21,24,1.97,4.08,8,Medio
JT 01,LAS,46.98,20,2.35,4.9,13,Medio
ComidaDelFuturo氣,ATEN,45.66,11,4.15,8.91,11,Alto
Giann,LATAM,46.76,35,1.34,2.8,8,Bajo
Vyak,LAS,46.22,24,1.93,4.08,10,Medio
xHoneyFish,CHL,45.16,41,1.1,2.39,7,Bajo
Jarthar,LAS,44.73,17,2.63,5.76,6,Medio
Vayne player 1,LAS,50.83,30,1.69,3.27,19,Bajo
darling,zzz,48.27,16,3.02,6.12,12,Medio
LKING,MH1,44.54,9,4.95,10.89,9,Alto
SuruyoDelSodimac,LAS,45.65,25,1.83,3.8,4,Bajo
SebastianMR,2404,44.83,12,3.74,8.17,5,Medio
daegu,LAS,48.38,28,1.73,3.5,6,Bajo
Intss,LAS,46.12,18,2.56,5.44,7,Medio
BlackModerm10,0000,45.32,34,1.33,2.88,6,Bajo
S1m0n,2277,47.46,35,1.36,2.8,8,Bajo
Shamta,LAS,47.55,33,1.44,2.97,4,Bajo
Dr Tommy,Crybb,47.23,32,1.48,3.06,16,Bajo
Nav,210,45.42,35,1.3,2.8,7,Bajo
TheBoss,T3tas,50.21,16,3.14,6.12,8,Medio
selfless,pain,44.53,30,1.48,3.27,5,Bajo
SOS RE WACHINN,LAS,47.49,42,1.13,2.33,11,Bajo
Kab,DUHR,44.74,14,3.2,7.0,9,Medio
Labubu,1251,49.01,17,2.88,5.76,6,Medio
Hustlee Hard 304,304,47.42,25,1.9,3.92,9,Bajo
BABOSA,lmao,49.77,32,1.56,3.06,5,Bajo
NoWitness,CBA,43.64,20,2.18,4.9,11,Medio
taitun,LAS,48.28,19,2.54,5.16,6,Medio
Creeping Derp,LAS,46.4,32,1.45,3.06,7,Bajo
jordi el tulachi,LAS,49.93,20,2.5,4.9,7,Medio
Uri,Uri27,41.55,45,0.92,2.18,5,Bajo
Tutesc,EDLP,50.18,17,2.95,5.76,4,Bajo
malva,314,47.63,34,1.4,2.88,7,Bajo
Juego con la 10,VAJ,46.13,19,2.43,5.16,8,Medio
Patroler,111,48.56,24,2.02,4.08,13,Medio
Andoni,00000,44.97,35,1.28,2.8,7,Bajo
Josedeoro,RECA,51.3,33,1.55,2.97,12,Bajo
chinoo,1200,51.5,24,2.15,4.08,10,Medio
maidenless,SAPEE,47.51,27,1.76,3.63,11,Bajo
elSeba11Xx,LAS,51.12,33,1.55,2.97,4,Bajo
SeeYouSoon,1800,49.16,36,1.37,2.72,5,Bajo
CarpinchoGoD,LAS,49.85,33,1.51,2.97,8,Bajo
TomPlatz,0000,46.08,17,2.71,5.76,3,Bajo
FRAN MAIRA,3331,45.27,30,1.51,3.27,7,Bajo
Neurus,LAS,49.46,26,1.9,3.77,15,Bajo
EuLeK,LAS,46.19,18,2.57,5.44,3,Bajo
Lauriano,LAS,49.45,12,4.12,8.17,6,Alto
Pappers,LAS,46.93,26,1.8,3.77,5,Bajo
KillVMaim,IDFC,48.1,19,2.53,5.16,3,Bajo
pancito36,4437,48.33,32,1.51,3.06,6,Bajo
tki44,222,47.17,37,1.27,2.65,5,Bajo
alan2pac,LAS,45.82,32,1.43,3.06,5,Bajo
Aeternum,LAS,42.55,21,2.03,4.67,6,Medio
Nomacitax,0069,46.62,31,1.5,3.16,8,Bajo
melvin,waos,45.4,13,3.49,7.54,3,Medio
Respawn Love,LAS,44.4,23,1.93,4.26,9,Medio
KrawLee,1997,47.18,39,1.21,2.51,9,Bajo
frN,0202,45.73,25,1.83,3.92,5,Bajo
Chrollo Lucifer,HxH1,50.59,17,2.98,5.76,12,Medio
Ragnar Lodbrok,VLH,51.78,16,3.24,6.12,11,Medio
imMonster,LAS,47.48,10,4.75,9.8,4,Medio
